id,ResponseID,date,substanceGroup,Reporting_Category,md_substance,md_dose,Recoded_Dose
R_0iJBRrROu8UT93H,R_2xCWwPGtfDPR8Ya,21/10/2016,LSD, LSD ,LSD,10~20 micrograms,15
R_0iJBRrROu8UT93H,R_3spFLUpErzeYhRn,24/10/2016,LSD, LSD ,lsd,10~20 micrograms,15
R_0iJBRrROu8UT93H,R_XUlE05bk35bC5zz,9/11/2016,LSD, LSD ,lsd,5~10 micrograms,7.5
R_0iJBRrROu8UT93H,R_5dUoQiZGX8J72AV,14/11/2016,LSD, LSD ,lsd,4~7 micrograms,5.5
R_0iJBRrROu8UT93H,R_AGTD90woeJumv7j,17/11/2016,LSD, LSD ,lsd,3~6 micrograms,4.5
R_0q8r9QIdS3eHDHz,R_9mpZ2MYXQEBRE2d,5/10/2016,Psilocybin, Psilocybin ,hollandia truffles,0.2 grams,0.2
R_0q8r9QIdS3eHDHz,R_xaAuJIV9WjwqsJH,12/10/2016,Psilocybin, Psilocybin ,hollandia truffles,0.2g,0.2
R_0q8r9QIdS3eHDHz,R_4Jv2q4z764c9Ffj,15/10/2016,Psilocybin, Psilocybin ,hollandia truffles,0.25g,0.25
R_0q8r9QIdS3eHDHz,R_RlFJ7wgDaBmnDnr,25/10/2016,Psilocybin, Psilocybin ,Hollandia truffles,0.2 g,0.2
R_0q8r9QIdS3eHDHz,R_b29XB0QedEsjkHL,5/11/2016,Psilocybin, Psilocybin ,hollandia truffles,0.23g,0.23
R_0q8r9QIdS3eHDHz,R_1QrvRlGS33CEtCj,10/11/2016,Psilocybin, Psilocybin ,hollandia truffles,0.35g,0.35
R_11YHdDvAT13PKo7,R_2xyGBylzwlRzg8I,17/11/2016,Psilocybin, Psilocybin ,Psilocybe cyanescense,.1g,0.1
R_11YHdDvAT13PKo7,R_ujE2X6mbwRCWv9T,20/11/2016,Psilocybin, Psilocybin ,Psilcybe Cyanescents,.1g dried,0.1
R_11YHdDvAT13PKo7,R_C8gQi9A90Mc76BX,23/11/2016,Psilocybin, Psilocybin ,Psilocybe Cyanesence,.14g,0.14
R_11YHdDvAT13PKo7,R_21cTDaLZxjsMqOD,4/12/2016,Psilocybin, Psilocybin ,Psilocybe cyanescens,.12 gram,0.12
R_11YHdDvAT13PKo7,R_3h4QjwjtamXJinH,11/12/2016,Psilocybin, Psilocybin ,Psilocybe Cyanescens,.13 gram,0.13
R_11YHdDvAT13PKo7,R_1In3mKAKdToz3Md,22/12/2016,Psilocybin, Psilocybin ,Psilocybe cyanescens,.17 gm,0.17
R_12eZn8DWZnYuhdJ,R_216dhwe31j139yU,29/08/2016,Psilocybin, Psilocybin ,Psilocybin,Difficult to be entirely precise but approx 1/10th,0.1
R_12sBNGfiNQMIWea,R_ugGZe7Sgl3sKVdn,8/08/2016,LSD, LSD ,LSD,~12ug,12
R_12sBNGfiNQMIWea,R_W6WknFymxY3c2Ih,11/08/2016,LSD, LSD ,LSD,9ug,9
R_12sBNGfiNQMIWea,R_2ci8muJh7XZ98XD,15/08/2016,LSD, LSD ,Lsd,7.5ug,7.5
R_12sBNGfiNQMIWea,R_1LLFCV8pBU7QJev,25/08/2016,LSD, LSD ,Lsd,6.5ug,6.5
R_12sBNGfiNQMIWea,R_6J1yRMGbPUKPLNL,5/09/2016,LSD, LSD ,Lsd,6.5ug,6.5
R_12sBNGfiNQMIWea,R_xsfwBPbjCGkMySR,11/09/2016,LSD, LSD ,Lsd,5.5ug,5.5
R_12sBNGfiNQMIWea,R_1Dp45TDqBCqZxfP,16/09/2016,LSD, LSD ,Lsd,5.5,5.5
R_1ClGL1Df2ociJAa,R_80rYdF8sNEauKrv,19/08/2016,Psilocybin, Psilocybin ,Truffles,.2g,0.2
R_1DVklE8EAtMmYIZ,R_1LFIsKFx9u3oZjQ,18/08/2016,LSD, LSD ,LSD,20µg,20
R_1DVklE8EAtMmYIZ,R_2QfkszB6GrsVOaE,20/08/2016,LSD, LSD ,LSD,15µg,15
R_1DVklE8EAtMmYIZ,R_e3XksGDzvvmaTND,27/08/2016,LSD, LSD ,LSD,15µg,15
R_1DVklE8EAtMmYIZ,R_1F9rbQ5Pfxp6Mxl,30/08/2016,LSD, LSD ,LSD,15µg,15
R_1etrbo9PVWIckqO,R_1poN0PMItvAP6Ub,4/06/2016,Psilocybin, Psilocybin ,psylocybin,half a gram,0.5
R_1etrbo9PVWIckqO,R_3I6Nl5Isjqeorkg,8/06/2016,Psilocybin, Psilocybin ,psylocybin,half a gram,0.5
R_1etrbo9PVWIckqO,R_3dFzP4ZDzKh8xGK,21/06/2016,Psilocybin, Psilocybin ,psylocybin,half a gram,0.5
R_1Fmj61l10THfKht,R_1qe74smVCqQWoOf,11/10/2016,LSD, LSD ,LSD,10ug(micrograms),10
R_1Fmj61l10THfKht,R_0SRV8CkORZHJ2yB,13/10/2016,LSD, LSD ,LSD,10ug,10
R_1Fmj61l10THfKht,R_3CPYgK7nYY60Z2J,16/10/2016,LSD, LSD ,LSD,10ug,10
R_1Fmj61l10THfKht,R_2znMgVUUSJ4eE6E,21/10/2016,LSD, LSD ,LSD,10ug,10
R_1Fmj61l10THfKht,R_2uKvtPyQITMqvWV,27/10/2016,LSD, LSD ,LSD,10ug,10
R_1Fmj61l10THfKht,R_28OMcdGRRvRLkig,7/11/2016,Psilocybin, Psilocybin ,Psilocybin,Approximately 0.5g,0.5
R_1gHGXF1nrtLiD2e,R_1NDlmSdFt52bCjT,26/09/2016,Psilocybin, Psilocybin ,Psilocybe cubensis,0.3 grams,0.3
R_1gHGXF1nrtLiD2e,R_eo3vVs4PhmNCktr,2/10/2016,Psilocybin, Psilocybin ,Psilocybin,.3 g,0.3
R_1gHGXF1nrtLiD2e,R_2TFaq9XuvWdpdgD,9/10/2016,Psilocybin, Psilocybin ,Psilocybin,.3 g,0.3
R_1gHGXF1nrtLiD2e,R_1P2luMlQIf90m2T,10/10/2016,Psilocybin, Psilocybin ,psilocybin,0.3,0.3
R_1gHGXF1nrtLiD2e,R_3KSGHX6TyMbx2jm,12/10/2016,Psilocybin, Psilocybin ,psilocybin,0.3 g,0.3
R_1gHGXF1nrtLiD2e,R_QaidLbZNOpGaKid,19/10/2016,Psilocybin, Psilocybin ,psilocybin,0.3 g,0.3
R_1go2MbpFpcIdvk4,R_1l4y6JC4eaDwz0U,23/08/2016,Psilocybin, Psilocybin ,Psilocybin,.3 grams,0.3
R_1go2MbpFpcIdvk4,R_6P4fn4i0khCRDxv,28/08/2016,Psilocybin, Psilocybin ,Psilocybin,. 3 grams,0.3
R_1go2MbpFpcIdvk4,R_2i6cMJaaM4V1Oal,4/09/2016,Psilocybin, Psilocybin ,Psilocybin,. 3 grams,0.3
R_1go2MbpFpcIdvk4,R_2PoLZyjyriBying,11/09/2016,Psilocybin, Psilocybin ,. Psilocybin,. 3 grams,0.3
R_1go2MbpFpcIdvk4,R_1JKkxvHzMDwuTbW,14/09/2016,Psilocybin, Psilocybin ,Psilocybin,.3 grams,0.3
R_1go2MbpFpcIdvk4,R_2ygByfygElfIDvN,20/09/2016,Psilocybin, Psilocybin ,Psilocybin,.3 grams,0.3
R_1go2MbpFpcIdvk4,R_3L5wdTDMFUCWnXr,27/09/2016,Psilocybin, Psilocybin ,Psilocybin,.3 grams,0.3
R_1gOVLSrXtOA3OD6,R_3psz6X9TmEo5dpc,19/08/2016,LSD, LSD ,LSD,13 micrograms,13
R_1gOVLSrXtOA3OD6,R_1LvtfqUj4bFkoob,22/08/2016,LSD, LSD ,Lsd,10 - 13 micrograms,11.5
R_1gOVLSrXtOA3OD6,R_syVpEVKASVBoXeh,19/09/2016,LSD, LSD ,1p-lsd,13micrograms,13
R_1gOVLSrXtOA3OD6,R_43c8PCuYXWKEVTv,22/09/2016,LSD, LSD ,Lsd,13 micrograms,13
R_1gOVLSrXtOA3OD6,R_OlKse4r9XZibRxn,27/09/2016,LSD, LSD ,Lsd,13 micrograms,13
R_1iaImvUX5POGI3c,R_1FmPf0QHoh0TQvU,22/11/2016,LSD, LSD ,LSD,3 micrograms (estimate),3
R_1iaImvUX5POGI3c,R_1F95IEDUQCUv5Uh,2/12/2016,LSD, LSD ,LSD,2 micrograms,2
R_1iaImvUX5POGI3c,R_3IXEpUJLHMYZv4y,5/12/2016,LSD, LSD ,LSD,2 micrograms,2
R_1iaImvUX5POGI3c,R_2VpCGJVr6kApdFo,9/12/2016,LSD, LSD ,LSD,2 micgrograms,2
R_1iaImvUX5POGI3c,R_unb8Ft1Q4B0MgBX,16/12/2016,LSD, LSD ,LSD,3 micrograms,3
R_1IAUAXf9Tm3MI0g,R_3hyZB7V7vRswIgW,2/09/2016,LSD, LSD ,LSD,25-35ug,30
R_1IAUAXf9Tm3MI0g,R_1jBbyyQ65cHZdul,25/09/2016,Psilocybin, Psilocybin ,Psilocybin mushrooms,~0.5 g,0.5
R_1jMIHYTuU2qcV2W,R_2ARnvLrVX5TvomN,3/10/2016,Psilocybin, Psilocybin ,Psilocybe subaeruginosa,0.08g,0.08
R_1jMIHYTuU2qcV2W,R_BXpAUJT2dVAIpZD,5/10/2016,Psilocybin, Psilocybin ,Psilocybe subaeruginosa,0.1,0.1
R_1jMIHYTuU2qcV2W,R_3kO39Vmri2GUZ71,13/10/2016,Psilocybin, Psilocybin ,Psilocybe subaeruginosa,0.10g,0.1
R_1jMIHYTuU2qcV2W,R_xF1oP40hA4XCtdT,14/10/2016,Psilocybin, Psilocybin ,Psilocybe subaeruginosa,0.10g,0.1
R_1jMIHYTuU2qcV2W,R_esVR6DhkMTS1q5X,27/10/2016,Psilocybin, Psilocybin ,Psilocybe subaeruginosa,0.10g,0.1
R_1jMIHYTuU2qcV2W,R_vT7iu0Q9BlOMAx3,5/11/2016,Psilocybin, Psilocybin ,Psilocybe subaerginosa,0.10g,0.1
R_1MQI6YXuUmZ5iNZ,R_1Qz7ZulP2wFvi40,11/03/2017,Mescaline, Mescaline (Synthetic) ,escaline,10mg,10
R_1MQI6YXuUmZ5iNZ,R_3DpfkXMBdfb44GY,12/03/2017,Mescaline, Mescaline (Synthetic) ,escaline,10mg,10
R_1MQI6YXuUmZ5iNZ,R_1IsZcbi2npX3YEV,20/03/2017,NovelSerotenergic, 2C-C ,2c-c,50mg,50
R_1MQI6YXuUmZ5iNZ,R_2ZKy067MgIE7CAT,29/03/2017,LSD, LSD ,1p lsd,25ug,25
R_1MQI6YXuUmZ5iNZ,R_2RPnu8YPIWOfq6o,13/04/2017,NovelSerotenergic, 2C-E ,2c-e,3mg,3
R_1OqWSQoLxN9A3Cc,R_xFxlpl1sU2KEf2V,29/08/2016,LSD, LSD ,LSD,0.25,25
R_1OqWSQoLxN9A3Cc,R_1pJt8Ged3qSUe4V,1/09/2016,LSD, LSD ,LSD,0.15,15
R_1OqWSQoLxN9A3Cc,R_pubALsi7OcZugff,6/09/2016,LSD, LSD ,LSD,0.15,15
R_1pyRsjWCEGUdqTF,R_2xyHoSmVAX9MKLm,21/09/2016,LSD, LSD ,LSD,3mg,3
R_1pyRsjWCEGUdqTF,R_zbVcSX0pqhhKPFn,24/09/2016,LSD, LSD ,lsd,5 micro grams,5
R_1QnkLLvMChDtsWt,R_ODaW3pGd7YfBMFr,21/12/2016,Psilocybin, Psilocybin ,Psilocybin,,
R_1rwScs6fIC9OwFt,R_2WPvTgEEddLTF1d,17/02/2017,LSD, LSD ,LSD,5 ug,5
R_1rwScs6fIC9OwFt,R_zegjlAPDLdyHjDH,19/02/2017,LSD, LSD ,LSD,5 ug,5
R_1rwScs6fIC9OwFt,R_2AZ0H69Ioc0CdHI,20/02/2017,LSD, LSD ,LSD,5 ug,5
R_1rwScs6fIC9OwFt,R_2yqrVQ7im1jorom,25/02/2017,LSD, LSD ,LSD,5 ug,5
R_1rwScs6fIC9OwFt,R_231Z1GXjMpxLjR0,26/02/2017,LSD, LSD ,LSD,3 ug,3
R_1rwScs6fIC9OwFt,R_ahD7Ibz1QjrCWUV,3/03/2017,LSD, LSD ,LSD,5 ug,5
R_1rwScs6fIC9OwFt,R_3KTOLOwGR4H5lLI,8/03/2017,LSD, LSD ,LSD,3 ug,3
R_1rwScs6fIC9OwFt,R_2veUR7PvJpwobbG,13/03/2017,LSD, LSD ,LSD,"2,5 ug",2.5
R_1rwScs6fIC9OwFt,R_2ab3zFHRdHfyAK5,15/03/2017,LSD, LSD ,LSD,"2,5 ug",2.5
R_1rwScs6fIC9OwFt,R_2uDXxcwmcnKXu2R,19/03/2017,LSD, LSD ,LSD,4 ug,4
R_210WC6F78wZpGd6,R_1i2RuSZ8L7pSIjg,13/11/2016,Psilocybin, Psilocybin ,Psilocybin Mushrooms,0.22g,0.22
R_210WC6F78wZpGd6,R_T5HUtO3aPMCZYtz,16/11/2016,Psilocybin, Psilocybin ,Psilocybin Mushrooms,0.15 grams,0.15
R_210WC6F78wZpGd6,R_1dKOhaBFlvFg56d,19/11/2016,Psilocybin, Psilocybin ,Psilocybin Mushrooms,0.18grams,0.18
R_210WC6F78wZpGd6,R_3noYU3fasmIOUOp,22/11/2016,Psilocybin, Psilocybin ,Psychedelic Mushrooms,0.12 grams,0.12
R_210WC6F78wZpGd6,R_1jNCH3YJmgyfdSx,26/11/2016,Psilocybin, Psilocybin ,Psylocybin Mushroom,0.6 grams but split over the day starting with 0.15 for most of the day,0.15
R_24NVxFLiVg9hyw5,R_1LiYP55BJcXsFvl,3/03/2017,4-HO-MET,4-HO-MET,Syrian rue and 4-HO-MET,"One gram and 1 milligram, respectively",1
R_24NVxFLiVg9hyw5,R_248EJ8Tf9HsYNad,5/03/2017,NovelSerotenergic, 4-HO-MET ,4-HO-MET,6 mg,6
R_24NVxFLiVg9hyw5,R_r3yIAnAPqhwUNTr,7/03/2017,LSD, LSD ,LSD,1/4 of a blotter (~25 mg),6.25
R_24NVxFLiVg9hyw5,R_2anvgQmPU5Mbaav,11/03/2017,NovelSerotenergic, 4-HO-MET ,4-HO-MET,5 mg,5
R_24NVxFLiVg9hyw5,R_3gZ8DxKIc8wqBej,13/03/2017,NovelSerotenergic, 4-HO-MET ,4-HO-MET,5 mg,5
R_24NVxFLiVg9hyw5,R_1KdtKmXn5HEgamk,19/03/2017,4-HO-MET,4-HO-MET,4-HO-MET and MDMA,"3 mg and 20 mg, respectively",3
R_24NVxFLiVg9hyw5,R_3dYTwbLkVQ1tj1f,8/04/2017,NovelSerotenergic, 2C-D ,2C-D,5mg,5
R_25AfhxVgajmDuwh,R_2c8GYSrVf96KMtm,3/10/2016,Psilocybin, Psilocybin ,Psilocybin Mushrooms,0.05g,0.05
R_25AfhxVgajmDuwh,R_3pukVps4QGCAa2U,17/10/2016,Psilocybin, Psilocybin ,Psilocybin,0.06g,0.06
R_25AfhxVgajmDuwh,R_0oicXs9an7yIEKx,31/10/2016,Psilocybin, Psilocybin ,Psilocybin,0.09,0.09
R_25FS6pq4gbKRDTT,R_2CeNo6KNxzOkIMM,1/10/2016,LSD, LSD ,LSD,.25mg,25
R_25FS6pq4gbKRDTT,R_56LgIie9fg9Ccal,2/10/2016,LSD, LSD ,LSD,.25mg,25
R_25FS6pq4gbKRDTT,R_w5iWIKmlWRvTP3P,5/10/2016,LSD, LSD ,LSD,.25mg,25
R_25FS6pq4gbKRDTT,R_0MTuO5HfccTIPyV,10/10/2016,LSD, LSD ,LSD,.25mg,25
R_25FS6pq4gbKRDTT,R_2ALwwWxVtMdqiSq,16/10/2016,LSD, LSD ,LSD,.25mg,25
R_25FS6pq4gbKRDTT,R_3RlmAnOd70pwGSL,18/10/2016,LSD, LSD ,LSD,.25mg,25
R_25FS6pq4gbKRDTT,R_1FCDPbJGmhgs7Y2,19/10/2016,LSD, LSD ,LSD,.25mg,25
R_25FS6pq4gbKRDTT,R_Deo8TnClD1HKJC9,20/10/2016,LSD, LSD ,LSD,.0.25mg,25
R_25FS6pq4gbKRDTT,R_1oBhdUfEgP01hyu,25/10/2016,LSD, LSD ,LSD,.25mg,25
R_27DKOds8Rc4jNv8,R_6KIOZQP4ewr7P6p,23/02/2017,LSD, LSD ,Lsd,30,30
R_27DKOds8Rc4jNv8,R_3Jaule0pbteEjBb,1/03/2017,LSD, LSD ,Lsd,25,25
R_27DKOds8Rc4jNv8,R_z7jMPSFP0F474IN,4/03/2017,LSD, LSD ,Lsd,20,20
R_27DKOds8Rc4jNv8,R_24nRAc79SyoDxzI,7/03/2017,LSD, LSD ,Lsd,30,30
R_27DKOds8Rc4jNv8,R_3imLz6ValgY24GU,17/03/2017,LSD, LSD ,lsd,30mg,30
R_27DKOds8Rc4jNv8,R_3HZGdjQrITFzfyu,20/03/2017,LSD, LSD ,Lsd,20 mg,20
R_27DKOds8Rc4jNv8,R_325eYrHMCqbmfRP,22/03/2017,LSD, LSD ,Lsd,29mg,29
R_27vfJqUUYolvca9,R_2WOnXXnkCToGiOY,12/10/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_3HitSPQ7TK4taZ5,14/10/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_294Xssg8rhnbvJs,19/10/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_wZEMAvJFb82uN8J,23/10/2016,LSD, LSD ,LSD,1.42 micrograms,1.42
R_27vfJqUUYolvca9,R_xDEAjdiLa9MUT9D,24/10/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_1GymO389cTNSaNM,26/10/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_3hm9Du1OACZYeG1,30/10/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_2fIlx7GUNOgLqkE,31/10/2016,LSD, LSD ,lsd,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_3KSDdRVJo07O0ZJ,2/11/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_2CoUSyA7Ubaq2yU,5/11/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_3Oe84C5C9gxYWQx,6/11/2016,LSD, LSD ,LSD,14.2 micrograms,14.2
R_27vfJqUUYolvca9,R_WBSdeqjP3HegkYV,14/11/2016,LSD, LSD ,LSD,`14.2 micrograms,14.2
R_29t84WsIkVxauh5,R_1rxHeU40w4ONbSB,24/02/2017,LSD, LSD ,LSD,25ug,25
R_29t84WsIkVxauh5,R_2eQlfAHsxkYei3N,25/02/2017,LSD, LSD ,LSD,10ug,10
R_29t84WsIkVxauh5,R_XnywPQZPhlG2DJv,3/03/2017,LSD, LSD ,LSD,20ug,20
R_29t84WsIkVxauh5,R_wNtvMfekWplBmLf,11/03/2017,LSD, LSD ,Lsd,10 ug,10
R_29t84WsIkVxauh5,R_1jct96932oESoj5,13/03/2017,LSD, LSD ,Lsd,10ug,10
R_29t84WsIkVxauh5,R_2Vrt8U1if5QMY1g,26/03/2017,LSD, LSD ,LSD,10ug,10
